Filename,Original File Size (bytes),Compressed File Size (bytes),Compression Ratio,% of Original,Time Elapsed (seconds),Effort
0863.png,9180000,3240326,2.8330482797101277,0.35297668845315905,0.1552283763885498,1
0863.png,9180000,3246355,2.827786856335798,0.3536334422657952,1.0750060081481934,2
0863.png,9180000,2613672,3.512299936640864,0.2847137254901961,1.0970170497894287,3
0863.png,9180000,2582615,3.554536777645913,0.2813306100217865,2.5867459774017334,4
0863.png,9180000,2737118,3.353892671050353,0.2981610021786492,3.6497907638549805,5
0863.png,9180000,2721535,3.373096432711687,0.29646350762527235,4.7469213008880615,6
0863.png,9180000,2684341,3.4198337692565883,0.2924118736383442,6.626421928405762,7
0863.png,9180000,2653936,3.4590133296356806,0.28909978213507626,13.519413709640503,8
0863.png,9180000,2605548,3.523251154843434,0.28382875816993464,38.21749567985535,9
0855.png,12484800,4923966,2.5355171014584585,0.3943968665897732,0.22033333778381348,1
0855.png,12484800,5087781,2.453879205885631,0.4075180219146482,1.3694593906402588,2
0855.png,12484800,4293619,2.907756836365779,0.34390771177752144,1.6094207763671875,3
0855.png,12484800,4231056,2.9507527198883685,0.33889657823913877,3.3469510078430176,4
0855.png,12484800,4235600,2.947587118708093,0.33926054081763424,4.156984329223633,5
0855.png,12484800,4210290,2.9653064278232617,0.33723327566320643,5.816834449768066,6
0855.png,12484800,4165542,2.9971609936954184,0.33364907727797,8.675828456878662,7
0855.png,12484800,4143814,3.0128765432039177,0.3319087210047418,18.648460388183594,8
0855.png,12484800,4100859,3.0444353244039846,0.328468137254902,54.80673408508301,9
0868.png,8298720,1202180,6.903059442013675,0.14486330422040988,0.1148061752319336,1
0868.png,8298720,1135863,7.306092372055433,0.1368720718375846,0.3756229877471924,2
0868.png,8298720,892644,9.296785728689153,0.10756405807160623,0.46254396438598633,3
0868.png,8298720,864737,9.596813828944523,0.10420125031330132,1.3465635776519775,4
0868.png,8298720,853380,9.724530689727905,0.10283272601075828,1.7648553848266602,5
0868.png,8298720,838913,9.892229587573443,0.1010894451192473,2.0277791023254395,6
0868.png,8298720,804324,10.317633192594029,0.0969214529469605,2.489530563354492,7
0868.png,8298720,792060,10.477388076660858,0.09544363468101105,5.3786890506744385,8
0868.png,8298720,782414,10.60655867609731,0.09428128675265583,18.355801105499268,9
0893.png,8298720,3401176,2.4399560622561136,0.4098434457362099,0.16151666641235352,1
0893.png,8298720,3465496,2.394670200167595,0.4175940385987237,0.6178696155548096,2
0893.png,8298720,2945120,2.8177867115771176,0.35488846472709046,0.8211715221405029,3
0893.png,8298720,2903914,2.857770581360192,0.34992312067403164,1.8461925983428955,4
0893.png,8298720,2869789,2.89175266892444,0.34581104073881275,2.4942567348480225,5
